,name,addr,city,state,lat,lon
373,Friendship Baptist Church,Cedar Rapids,IA,52402,42.017451,-91.652551
374,Friendship Baptist Church,Highland,AR,72542,36.315899,-91.482639
375,Friendship Baptist Church,Hurst,TX,76053,32.823462,-97.170568
376,Front Range Baptist Church,Fort Collins,CO,80525,40.550853,-105.066809
377,Fundamental Baptist Church,Livingston,LA,70754,30.502135,-90.747874
378,Coast Hills Baptist Church,Santa Maria,CA,93455,34.888727,-120.427685
379,Galilee Baptist Church,Elizabethtown,KY,42701,37.693952,-85.859129
380,Gateway Baptist Church,Anderson,SC,29621,34.50686,-82.650626
381,Gateway Baptist Church,Clarksville,TN,37040,36.527761,-87.35887
382,Gateway Baptist Church,Clinton,IA,52732,41.844474,-90.188738
383,Gateway Baptist Church,Macon,GA,31206,32.797603,-83.678364
384,Gateway Baptist Church,Pensacola,FL,32526,30.519263,-87.316257
385,Gentle Shepherd Baptist Church,Lincoln,NE,68522,40.79385,-96.748769
386,Georgetown Baptist Church,,NC,28748,35.655107,-82.696244
387,Gethsemane Baptist Church,Knox,IN,46534,41.295875,-86.625014
388,Glenora Baptist Church,Mineral,VA,23117,38.009841,-77.907663
389,Glenwood Baptist Church,Kansas City,MO,64116,39.160848,-94.567669
390,Glory Baptist Church,Carlisle,IA,50047,41.498683,-93.486751
391,Gloryland Baptist Church,Birmingham,AL,35214,33.554448,-86.885
392,Good News Baptist Church,Cedar Rapids,IA,52404,41.953989,-91.696808
393,Gospel Baptist Church,Billings,MT,59102,45.77901,-108.576043
394,Gospel Baptist Church,Bonita Springs,FL,34135,26.339806,-81.778697
395,Gospel Baptist Church,Greensboro,NC,27455,36.140597,-79.819577
396,Gospel Baptist Church,Richmond,VA,23225,37.514783,-77.500762
397,Gospel Baptist Church,South Richmond Hill,NY,11419,40.68181,-73.822105
398,Gospel Baptist Church,Little Hocking,OH,45742,39.260631,-81.699852
399,Gospel Light Baptist Church,Baton Rouge,LA,70817,30.39315,-91.008718
400,Gospel Light Baptist Church,Malvern,AR,72104,34.362315,-92.812946
401,Gospel Light Baptist Church,Marion,IA,52302,42.034166,-91.597677
402,Gospel Light Baptist Church,Metamora,MI,48455,42.941417,-83.289109
403,Gospel Light Baptist Church,Minneapolis,MN,55418,45.017726,-93.241078
404,Gospel Light Baptist Church,Winder,GA,30680,33.991909,-83.718437
405,Gospel Light Baptist Church,Winston-Salem,NC,27101,36.099813,-80.244052
406,Grace Baptist Church,Appleton,WI,54914,44.275623,-88.43516
407,Grace Baptist Church,Belleview,FL,34420,29.059989,-82.02563
408,Grace Baptist Church,Billings,MT,59102,45.77901,-108.576043
409,Grace Baptist Church,Bluffton,IN,46714,40.738658,-85.171637
410,Grace Baptist Church,,IA,50049,41.014751,-93.307251
411,Grace Baptist Church,,OK,73023,35.050015,-97.941249
412,Grace Baptist Church,Chillicothe,MO,64601,39.794875,-93.553278
413,Grace Baptist Church,Crestline,OH,44827,40.787557,-82.736568
414,Grace Baptist Church,Delaware,OH,43015,40.298672,-83.067965
415,Grace Baptist Church,Dillon,MT,59725,45.216416,-112.637844
416,Grace Baptist Church,,MI,49734,45.027513,-84.674752
417,Grace Baptist Church,Greensburg,PA,15601,40.301458,-79.538929
418,Grace Baptist Church,Harrisonville,MO,64701,38.655124,-94.347107
419,Grace Baptist Church,Lockport,IL,60441,41.589475,-88.057837
420,Grace Baptist Church,Madison,WI,53716,43.068961,-89.311899
421,Unionville Baptist Church,Unionville,IA,52594,40.818349,-92.695471
422,Grace Baptist Church,Marion,IA,52302,42.034166,-91.597677
423,Grace Baptist Church,Marrero,LA,70072,29.899372,-90.100351
424,Grace Baptist Church,Neodesha,KS,66757,37.418393,-95.680258
425,Grace Baptist Church,New Buffalo,MI,49117,41.78859,-86.756698
426,Grace Baptist Church,Pekin,IL,61554,40.568985,-89.650105
427,Grace Baptist Church,Philadelphia,PA,19137,39.999493,-75.072316
428,Grace Baptist Church,Phillipsburg,OH,45354,39.904498,-84.401615
429,Grace Baptist Church,,IL,62363,39.607825,-90.805129
430,Grace Baptist Church,Quincy,IL,62301,39.935602,-91.409873
431,Grace Baptist Church,Raleigh,IL,62977,37.826992,-88.531996
432,Grace Baptist Church,Red Oak,IA,51566,41.009519,-95.228247
433,Grace Baptist Church,Slaughter,LA,70777,30.717406,-91.141496
434,Grace Baptist Church,Sulphur,LA,70665,30.20061,-93.370641
435,Grace Baptist Church,Scottsdale,AZ,85257,33.46682,-111.917612
436,Grace Baptist Church,Urbana,OH,43078,40.108391,-83.75243
437,Grace Baptist Church,Waycross,GA,31501,31.213551,-82.354018
438,Grace Baptist Church,,PA,17268,39.755783,-77.577651
439,Grace Baptist Church,Winterset,IA,50273,41.334763,-94.013569
440,Grace Baptist Temple,Chesapeake,VA,23320,36.762884,-76.233089
441,Grace Bible Baptist Church,Corinth,MS,38835,34.933885,-88.516036
442,Grace Independent Baptist Church,Ocean Springs,MS,39564,30.41129,-88.827917
