name,addr,state,lat,lon
Peniel Presbyterian Church,Los Angeles,CA,34.053691,-118.242766
Providence Presbyterian Church,Palm Desert,CA,33.728818,-116.382571
Providence Reformed Church of Bakersfield,Bakersfield,CA,35.373871,-119.019464
Ramona Valley Presbyterian Church,Ramona,CA,33.041711,-116.868082
Redeemer Presbyterian Church,Camarillo,CA,34.217637,-119.038354
Redeemer Presbyterian Church,Santa Rosa,CA,38.440493,-122.714105
Redeemer Presbyterian Church,Los Angeles,CA,34.053691,-118.242766
Redeemer Presbyterian Church,Newport Beach,CA,33.617009,-117.92944
Redeemer Presbyterian Church 2nd site,Torrance,CA,33.835849,-118.340629
Redeemer Presbyterian Church of San Diego,Encinitas,CA,33.036987,-117.291982
Redeeming Grace Church,Torrance,CA,33.835849,-118.340629
Redemption Church,San Marcos,CA,-25.466931,-56.02242
Resurrection Oakland Church,Oakland,CA,37.804456,-122.271356
Resurrection Orange County,Ladera Ranch,CA,33.551017,-117.63854
Resurrection Presbyterian Church of San Diego,San Diego,CA,32.71742,-117.162773
Revive Presbyterian Church of Silicon Valley,Sunnyvale,CA,37.36883,-122.036349
Ridge Presbyterian Church,Chico,CA,39.728495,-121.837478
Risen Church,Hayward,CA,37.668821,-122.080796
Sa-Rang Community Church,Anaheim,CA,33.834752,-117.911732
Salinas Korean Presbyterian Church,Salinas,CA,36.674412,-121.655037
San Diego New Hope Church,San Diego,CA,32.71742,-117.162773
Servant Church of San Diego,San Diego,CA,32.71742,-117.162773
Serving Community Presbyterian Church,Chino Hills,CA,33.99268,-117.760056
Shalom Church of Southern California,Torrance,CA,33.835849,-118.340629
Sierra View Presbyterian Church,Fresno,CA,36.739442,-119.784831
Stockton Bansuk Presbyterian Church,Stockton,CA,39.943248,-75.075573
The Humbled One Church,Los Alamitos,CA,33.803887,-118.077243
The Way,South Pasadena,CA,34.113306,-118.147829
The Way Church,Los Angeles,CA,34.053691,-118.242766
Trinity Presbyterian Church,San Luis Obispo,CA,35.282753,-120.659616
Trinity Presbyterian Church of Orange County,Orange,CA,33.787257,-117.850309
Trinity Presbyterian Church of San Diego,San Diego,CA,32.71742,-117.162773
Valley Bethel Presbyterian Church,Chatsworth,CA,34.259572,-118.602325
Valley Presbyterian Church,Los Angeles,CA,34.053691,-118.242766
Valley Springs Presbyterian Church,Roseville,CA,38.752124,-121.288006
Victory Presbyterian Church,Los Angeles,CA,34.053691,-118.242766
Walnut Creek Heavenly Church,Walnut Creek,CA,37.902073,-122.06187
Cheyenne Mountain Presbyterian Church,Colorado Springs,CO,38.833958,-104.825349
Cornerstone Presbyterian Church,Castle Rock,CO,39.372334,-104.858664
Covenant Presbyterian Church,Wheat Ridge,CO,39.766098,-105.077206
Covenant Reformed Presbyterian Church,Pueblo,CO,18.339747,-66.308728
Deer Creek Community Church,Littleton,CO,39.613321,-105.01665
Denver Presbyterian Church,Denver,CO,39.739236,-104.984862
Disciple Mission Church of Denver,Denver,CO,39.739236,-104.984862
Elevate Hope Centennial Inc.,Centennial,CO,39.579155,-104.876923
Forestgate Presbyterian Church,Colorado Springs,CO,38.833958,-104.825349
Grace and Peace Church,Colorado Springs,CO,38.833958,-104.825349
Grace and Peace Denver,Blanc Events,CO,45.64267,10.01181
Grace Church Presbyterian,Ft. Collins,CO,40.550853,-105.066809
High Plains Fellowship,Falcon,CO,26.063634,-80.396866
Living Redeemer Church,Grand Junction,CO,39.063956,-108.550732
New Life Mission Church of Colorado,Aurora,CO,39.740511,-104.830995
Providence Presbyterian Church-Durango,Durango,CO,37.271395,-107.881598
Redeemer Longmont,Longmont,CO,38.22913,-77.6071
Redeemer Presbyterian Church,Parker,CO,39.518451,-104.761264
Rocky Mountain Presbyterian Church,Westminster,CO,39.836653,-105.037205
Saint Patrick,Greeley,CO,40.423314,-104.709132
Skyview Presbyterian Church,Centennial,CO,39.579155,-104.876923
Summit Church of Buena Vista,Buena Vista,CO,38.842218,-106.131129
The Table Church,Lafayette,CO,39.993596,-105.089706
Trinity Reformed Church,New Castle,CO,39.659449,-75.56363
Trinity Reformed Presbyterian Church,Montrose,CO,38.478193,-107.876277
Village Seven Presbyterian Church,Colorado Springs,CO,38.833958,-104.825349
Waypoint Church,Colorado Springs,CO,38.833958,-104.825349
Westside Church,Colorado Springs,CO,38.833958,-104.825349
Christ Community Presbyterian Church,West Hartford,CT,41.762045,-72.74204
Christ is Life Presbyterian Church,Fairfield,CT,41.141208,-73.263726
Christ Presbyterian Church,New Haven,CT,41.308214,-72.925052
Christ Presbyterian Church of Fairfield,Bridgeport,CT,41.167041,-73.204835
Christ the Shepherd Church,Danbury,CT,41.394817,-73.454011
Christian Community Church of Danbury,Danbury,CT,41.394817,-73.454011
Covenant Presbyterian Church,Ledyard,CT,41.438605,-72.017519
Grace Church of Greenwich,Greenwich,CT,41.026486,-73.62846
Grace Church Stamford,Stamford,CT,41.05343,-73.538734
New England Grace Presbyterian Church,West Hartford,CT,41.762045,-72.74204
Presbyterian Church of Coventry,Coventry,CT,41.770099,-72.30508
Presbyterian Church of Manchester,Manchester,CT,41.783402,-72.523197
CenterPoint Church ,Smyrna,DE,39.299834,-75.604649
City Church Wilmington,Wilmington,DE,39.745947,-75.546589
Crossroads Presbyterian Church,Middletown,DE,39.449686,-75.716681
Eastgate Presbyterian Church,Millsboro,DE,38.591502,-75.291302
Evangelical Presbyterian Church,Newark,DE,39.685219,-75.750829
Faith Presbyterian Church,Wilmington,DE,39.745947,-75.546589
Good News Church,Hockessin,DE,39.787611,-75.6966
Gospel Church for all Nations,Wilmington Manor,DE,39.680523,-75.58928
Grace Church PCA,Dover,DE,39.158168,-75.524368
Heritage Presbyterian Church,New Castle,DE,39.662057,-75.566313
The Town (PCA),Middletown,DE,39.449686,-75.716681
Areumdown Presbyterian Church,Miami,FL,25.764993375,-80.1852740625
Auburn Road Presbyterian Church,Venice,FL,27.099919,-82.45436
Bay Presbyterian Church,Bonita Springs,FL,26.339806,-81.778697
Boynton Beach Community Church,Boynton Beach,FL,26.525618,-80.066603
CenterPoint Church,Tallahassee,FL,30.438083,-84.280933
Chattahoochee Presbyterian Church,Chattahoochee,FL,30.704873,-84.843223
Christ Central Presbyterian Church,Tampa,FL,27.94776,-82.458444
Christ Church Beaches,Jacksonville Beach,FL,30.294686,-81.39314
Christ Church East,Jacksonville,FL,30.332184,-81.655651
Christ Church Intown,Jacksonville,FL,30.332184,-81.655651
Christ Church Presbyterian,Jacksonville,FL,30.332184,-81.655651
Christ Community Church,Titusville,FL,28.612219,-80.807554
Christ Community Church,Gainesville,FL,29.651968,-82.324985
Christ Community Church PCA Palm Beach,Wellington,FL,26.658678,-80.241436
Christ Community Presbyterian Church,Clearwater,FL,27.965853,-82.800103
Christ Community Presbyterian Church,Lakeland,FL,28.039465,-81.949804
Christ Covenant Church,Southwest Ranches,FL,26.0587,-80.337273
Christ the King Presbyterian Church,Seminole,FL,27.840092,-82.791125
Christ the King Presbyterian Church,Vero Beach,FL,27.638716,-80.39754
Christ the King Presbyterian Church,Port St. Lucie,FL,27.244412,-80.312102
Christ United Fellowship Orlando,Orlando,FL,28.542111,-81.37903
City Church Sarasota,Sarasota,FL,27.336581,-82.530855
City Church St. Petersburg,St. Petersburg,FL,27.77038,-82.669509
CityChurch,Wilton Manors,FL,26.160363,-80.138934
Community Presbyterian Church,McIntosh,FL,29.44886,-82.222042
Community Presbyterian Church,Live Oak,FL,30.294946,-82.98402
Concord Presbyterian Church,Gulf Breeze,FL,30.381469,-87.100502
Coquina Presbyterian Church,Ormond Beach,FL,29.285413,-81.055792
Coral Ridge Presbyterian Church,Ft. Lauderdale,FL,26.122308,-80.143379
Cornerstone of Lakewood Ranch,Bradenton,FL,27.498928,-82.574819
Cornerstone Presbyterian Church,Palm Beach Gardens,FL,26.823395,-80.138655
Cornerstone Presbyterian Church,Tallahassee,FL,30.438083,-84.280933
Cornerstone Presbyterian Church,Lutz,FL,28.151124,-82.461483
Covenant Church,Palm Bay,FL,27.994697,-80.636614
Covenant Church of Naples,Naples,FL,26.142198,-81.794294
Covenant Life Presbyterian Church,Sarasota,FL,27.336581,-82.530855
Covenant of Grace Presbyterian Church,North Port,FL,27.044224,-82.235925
Covenant Presbyterian Church,Lakeland,FL,28.039465,-81.949804
Covenant Presbyterian Church,Panama City,FL,30.160083,-85.654573
Covenant Presbyterian Church,Sebring,FL,27.495745,-81.441043
Covenant Presbyterian Church,Oviedo,FL,28.670253,-81.208494
Cross Community Church of South Florida,Deerfield Beach,FL,26.318342,-80.099631
Cross Creek Church,St. Johns,FL,30.069033,-81.558339
Crossbridge Church Miami,Pinecrest,FL,25.667048,-80.308107
Cypress Ridge Presbyterian Church,Winter Haven,FL,28.022244,-81.732857
El Redentor Presbyterian Church,Miami,FL,25.764993375,-80.1852740625
El Shaddai of Grace Church,Naples,FL,26.142198,-81.794294
El Shaddai Presbyterian Church,Miami,FL,25.764993375,-80.1852740625
El Shaddai Presbyterian Mission,Winter Haven,FL,28.022244,-81.732857
El Shalom Haitian Community Church,Loxahatchee,FL,26.771564,-80.302479
Elohim Evangelical Church,Jacksonville,FL,30.332184,-81.655651
Emanuel Presbyterian Church,Boca Raton,FL,26.358689,-80.083098
Fairfield Presbyterian Church,Pensacola,FL,30.421309,-87.216915
Faith Presbyterian Church,Gainesville,FL,29.651968,-82.324985
Faith Presbyterian Church,Sarasota,FL,27.336581,-82.530855
Faith Presbyterian Church,Wauchula,FL,27.547259,-81.811472
First Presbyterian Church,Panama City,FL,30.160083,-85.654573
First Presbyterian Church,Niceville,FL,30.516864,-86.482172
First Presbyterian Church of Coral Springs,Coral Springs,FL,26.271192,-80.270604
Florida Coast Church,Pompano Beach,FL,26.23786,-80.124767
FWB International Community Church Mission,Ft. Walton Beach,FL,30.405755,-86.618842
Gainesville Open Kingdom Presbyterian Church,Gainesville,FL,29.651968,-82.324985
Good News Church,St. Augustine,FL,29.894695,-81.31454
