,name,size,addr,state,link,lat,lon
78,Gateway Baptist Church,Small,1473 6th St Florala,AL,http://www.usachurches.org/church/gateway-baptist-church-florala.htm,31.009263,-86.32858
79,Grace Crossroad Church,Medium,800 N Patton St Florence,AL,http://www.usachurches.org/church/grace-crossroad-church.htm,34.818036,-87.650733
80,Revival Center Church of God in Christ,Small,101 Lanett St Florence,AL,http://www.usachurches.org/church/revival-center-church-of-god-in-christ.htm,34.860044,-87.686308
81,Mission Pointe Church,Small,13375 A L-157 Florence,AL,http://www.usachurches.org/church/missionpointechurch.htm,34.961291,-87.793513
82,New Rock Church of God in Christ,Small,1901 County Rd 6Florence,AL,http://www.usachurches.org/church/new-rock-church-of-god-in-christ.htm,32.936751,-85.979069
83,Florence First Assembly of God,Large,3610 Helton Dr Florence,AL,http://www.usachurches.org/church/florence-1st-assembly-of-god.htm,34.852043,-87.662892
84,Fairview Baptist Church,Medium,5295 Fairview Rd Gadsden,AL,http://www.usachurches.org/church/fairview-baptist-church-gadsden.htm,34.091064,-85.993943
85,Gardendale Church Of God,Medium,2255 N Rd Gardendale,AL,http://www.usachurches.org/church/gardendalechurchofgod.htm,33.677408,-86.82058
86,The Church of God,Small,County Road 28Goodwater,AL,http://www.usachurches.org/church/the-church-of-god.htm,33.124276,-85.469496
87,"First Baptist Church, Grant",Medium,5515 Main St Grant,AL,http://www.usachurches.org/church/firstbaptistchurchgrant.htm,34.527408,-86.253015
88,The Cornerstone Baptist Church,Small,160 N Jackson St Grove Hill,AL,http://www.usachurches.org/church/the-cornerstone-baptist-church.htm,31.714391,-87.7764
89,Resonate Church 922,Small,76 Mt Carmel Dr Guntersville,AL,http://www.usachurches.org/church/resonate-church-922.htm,34.389421,-86.367308
90,Laodicea Freewill Baptist Church,Small,276 County Rd 522Hanceville,AL,http://www.usachurches.org/church/laodicea-freewill-baptist-church.htm,33.529334,-87.236539
91,Christ Way Baptist Church,Small,1649 Nick Davis Rd Harvest,AL,http://www.usachurches.org/church/christ-way-baptist-church.htm,34.807539,-86.772485
92,New Salem Christian Church,Small,133 W Tuskeena St Hayneville,AL,http://www.usachurches.org/church/newsalemchristianchurch.htm,32.184012,-86.58203
93,First Baptist Church of Hazel Green,Large,225 Hunt Dr Hazel Green,AL,http://www.usachurches.org/church/first-baptist-church-of-hazel-green.htm,34.920274,-86.569074
94,Vise Grove Seventh-day Adventist Church,Small,303 Co Rd 116Heflin,AL,http://www.usachurches.org/church/visegroveseventhdayadventistchurch.htm,42.507921,-92.443249
95,Huntsville Christian Church,Medium,171 Indian Creek Rd N W Huntsville,AL,http://www.usachurches.org/church/huntsville-christian-church.htm,34.759542,-86.687696
96,Winchester Road East Church of Christ,Small,1471 Winchester Rd N E Huntsville,AL,http://www.usachurches.org/church/winchester-road-east-church-of-christ.htm,34.805556,-86.520038
97,Progressive Union Missionary Baptist Church,Large,1919 Brandon Town Rd N W Huntsville,AL,http://www.usachurches.org/church/progressiveunionmissionarybaptistchurch.htm,34.729538,-86.585283
98,Draper Memorial Church of God in Christ,Medium,313 Beirne Ave N E Huntsville,AL,http://www.usachurches.org/church/draper-memorial-church-of-god-in-christ.htm,34.740916,-86.5811
99,The Rock Family Worship Center,Mega,2300 Memorial Pkwy S W Huntsville,AL,http://www.usachurches.org/church/the-rock-family-worship-center-huntsville.htm,34.71706,-86.592013
100,Five Points Baptist Church,Small,801 Beirne Ave N E Huntsville,AL,http://www.usachurches.org/church/five-points-baptist-church.htm,34.740824,-86.575313
101,Whitesburg Baptist Church,Mega,6806 Whitesburg Dr Huntsville,AL,http://www.usachurches.org/church/whitesburg-baptist-church.htm,34.675772,-86.567902
102,Fountain Of Life Ministries,Medium,3104 Leeman Ferry Rd S W Huntsville,AL,http://www.usachurches.org/church/fountain-of-life-ministries.htm,34.697484,-86.591896
103,Madison Baptist Church,Large,840 Balch Rd Madison,AL,http://www.usachurches.org/church/madison-baptist-church.htm,34.738587,-86.767773
104,Christ Presbyterian Church of Monrovia,Small,1580 Jeff Rd N W Huntsville,AL,http://www.usachurches.org/church/christ-presbyterian-church-of-monrovia.htm,34.802906,-86.713816
105,Milton Baptist Church,Small,843 Co Rd 1 N Jones,AL,http://www.usachurches.org/church/milton-baptist-church.htm,32.5839,-86.897499
106,Evangel Temple Assembly of God,Medium,1755 Phillips Rd Lanett,AL,http://www.usachurches.org/church/evangel-temple-assembly-of-god-lanett.htm,32.844959,-85.232756
107,New Ebenezer Baptist Church,Medium,2764 New Ebenezer Rd Lapine,AL,http://www.usachurches.org/church/new-ebenezer-baptist-church.htm,31.923639,-86.35339
108,Valley View Baptist Church,Medium,7254 President St Leeds,AL,http://www.usachurches.org/church/valley-view-baptist-church-leeds.htm,33.540574,-86.56678
109,Asbury Church,Large,980 Hughes Rd Madison,AL,http://www.usachurches.org/church/asbury-united-methodist-church-madison.htm,34.729962,-86.741376
110,Cloverleaf Baptist Church,Small,6500 Three Notch Rd Mobile,AL,http://www.usachurches.org/church/cloverleaf-baptist-church.htm,30.588967,-88.192493
111,Mobile First Church of God,Small,512 Farnell Ln Mobile,AL,http://www.usachurches.org/church/mobile-first-church-of-god.htm,30.667346,-88.114787
112,West Mobile Baptist Church,Large,7501 Airport Blvd Mobile,AL,http://www.usachurches.org/church/west-mobile-baptist-church.htm,30.68571,-88.218769
113,Meadowlake Baptist Church,Medium,8075 Three Notch Rd Mobile,AL,http://www.usachurches.org/church/meadowlake-baptist-church.htm,30.588996,-88.231783
114,House of the Nations,Small,2020 Leroy Stevens Rd Mobile,AL,http://www.usachurches.org/church/house-of-the-nations.htm,30.648953,-88.233002
115,"Faith Ministries, PAW of Mobile, AL",Medium,1108 Chinquapin St Mobile,AL,http://www.usachurches.org/church/faithministriespawmobileal.htm,30.702754,-88.058139
116,Christ United Methodist Church,Mega,6101 Grelot Rd Mobile,AL,http://www.usachurches.org/church/christ-united-methodist.htm,30.661151,-88.18471
117,Oak Park Church,Large,3321 Sollie Rd Mobile,AL,http://www.usachurches.org/church/opcmobile.htm,30.618983,-88.207704
118,Providence Presbyterian Church,Medium,2320 Schillinger Rd S Mobile,AL,http://www.usachurches.org/church/providence-presbyterian-church.htm,30.642736,-88.224662
119,Lighthouse Baptist Church,Large,6905 Nan Gray Davis Rd Theodore,AL,http://www.usachurches.org/church/lighthouse-baptist-church-theodore.htm,30.547658,-88.189314
120,Temple of Praise Church of God in Christ,Small,1302 Wellington St Mobile,AL,http://www.usachurches.org/church/temple-of-praise-church-of-god-in-christ-mobile.htm,30.724798,-88.100665
121,Mount Hebron Church Ministries,Mega,2531 Berkley Ave Mobile,AL,http://www.usachurches.org/church/mount-hebron-church-ministries.htm,30.735212,-88.1088
122,Korean New Hope Presbyterian Church,Small,1260 Dauphin St Mobile,AL,http://www.usachurches.org/church/korean-new-hope-presbyterian-church.htm,30.687438,-88.064755
123,Mason Memorial Temple Church of God in Christ,Medium,2157 Government St Mobile,AL,http://www.usachurches.org/church/mason-memorial-temple-church-of-god-in-christ.htm,30.674675,-88.091494
124,Harvest Family Church,Medium,7245 Copperfield Dr Montgomery,AL,http://www.usachurches.org/church/harvest-family-church-montgomery.htm,32.37628,-86.168842
125,Center of Love Light and Peace Church,Medium,8448 Crossland Loop Ste 158Montgomery,AL,http://www.usachurches.org/church/centeroflovelightandpeacechurch.htm,39.328235,-76.575639
126,Hall Memorial CME Church,Medium,541 Seibles Rd Montgomery,AL,http://www.usachurches.org/church/hall-memorial-cme-church.htm,32.313055,-86.294241
127,Love Center Church,Medium,2401 Plum St Montgomery,AL,http://www.usachurches.org/church/love-center-full-gospel-baptist-church.htm,32.371199,-86.276836
128,True Word Of Life Church,Medium,3975 Eastern Blvd Montgomery,AL,http://www.usachurches.org/church/true-word-of-life-church.htm,32.327955,-86.235588
129,Frazer Memorial United Methodist Church,Mega,6000 Atlanta Hwy Montgomery,AL,http://www.usachurches.org/church/frazer-memorial-united-methodist-church.htm,32.382097,-86.19619
130,Antioch Church of God in Christ,Small,566 Oak St Montgomery,AL,http://www.usachurches.org/church/antioch-church-of-god-in-christ-montgomery.htm,32.37017,-86.325312
131,Harvest Tyme Church,Small,11091 Atlanta Hwy Montgomery,AL,http://www.usachurches.org/church/harvest-tyme-church.htm,32.367043,-86.105382
132,"Miracle Deliverance Temple of Christ, Inc.",Medium,3402 Doris Cir Montgomery,AL,http://www.usachurches.org/church/miracle-deliverance-temple-of-christ-inc.htm,32.344093,-86.322064
133,Sitting At His Feet Fellowship,Small,110 Eugene St Montgomery,AL,http://www.usachurches.org/church/sitting-at-his-feet-fellowship.htm,32.379612,-86.327968
134,Lord's House of Worship,Small,2468 Happy Top Rd Morris,AL,http://www.usachurches.org/church/lords-house-of-worship.htm,33.747174,-86.744923
135,Community Baptist Church,Small,13355 Market St Moulton,AL,http://www.usachurches.org/church/community-baptist-church-moulton.htm,34.4642,-87.292572
136,Campground United Methodist Church,Small,24581 County Road 49Muscadine,AL,http://www.usachurches.org/church/campground-united-methodist-church.htm,37.400567,-108.595132
137,Springhill AME Zion Church,Small,4650 Watermelon Rd Northport,AL,http://www.usachurches.org/church/springhill-ame-zion-church.htm,33.249945,-87.547503
138,Beth Ohr Messianic Congregation,Small,3211 Waverly Pkwy Opelika,AL,http://www.usachurches.org/church/beth-ohr-messianic-congregation.htm,32.65396,-85.426735
139,Nazareth Missionary Baptist Church,Medium,4454 Lee Rd 166Opelika,AL,http://www.usachurches.org/church/nazarethmissionarybaptistchurch.htm,33.190457,-87.596342
140,Ridgecrest Baptist Church,Medium,1971 Deese Rd Ozark,AL,http://www.usachurches.org/church/ridgecrest-baptist-church.htm,31.437828,-85.661268
141,Crosscreek Baptist Church,Medium,600 Crosscreek Trail Pelham,AL,http://www.usachurches.org/church/crosscreekbaptistchurch.htm,33.313358,-86.816369
142,Sun View Baptist Church,Medium,2200 County Road 33Pelham,AL,http://www.usachurches.org/church/sun-view-baptist-church.htm,42.918535,-90.110395
143,Pierce Chapel,Small,2084 Co Rd 427Phenix City,AL,http://www.usachurches.org/church/piercechapel.htm,32.47292,-85.000787
144,The Church of God at Phenix City,Small,8 Whiterock Rd Phenix City,AL,http://www.usachurches.org/church/the-church-of-god-at-phenix-city.htm,32.466568,-85.078098
145,Extended Hand Church,Medium,209 Taylor St Piedmont,AL,http://www.usachurches.org/church/extended-hand-church.htm,33.931307,-85.603254
146,West Jefferson Assembly,Medium,4411 Alexander Rd Quinton,AL,http://www.usachurches.org/church/west-jefferson-assembly.htm,33.636497,-87.089108
147,Harvest Fellowship Church,Small,607 10th Ave N Red Bay,AL,http://www.usachurches.org/church/harvest-fellowship-church.htm,34.450215,-88.150179
148,Harmony Baptist Church,Medium,2335 Firetower Rd Semmes,AL,http://www.usachurches.org/church/harmony-baptist-church-semmes.htm,30.739383,-88.259905
149,"Open Door Church Ministries, Inc.",Medium,1301 Pinehurst Blvd Sheffield,AL,http://www.usachurches.org/church/open-door-church-ministries-inc.htm,34.763507,-87.678447
