name,addr,city,state,lat,lon
Calvary Baptist Church,Seward,NE,68434,40.906953,-97.098923
Colonial Baptist Church,,AR,72364,35.214534,-90.196484
Colonial Hills Baptist Church,Indianapolis,IN,46240,39.91815,-86.135442
Avalon Hills Bible Church,Virginia Beach,VA,23464,36.794366,-76.173273
Heritage Baptist Church,Haslet,TX,76052,32.974847,-97.347796
Faith Baptist Church,Warren,MI,48089,42.466638,-82.999465
First Baptist Church,Waverly,IA,50677,42.725814,-92.475463
Grace Baptist Church,Hastings,NE,68902,40.586496,-98.385735
Crossroads Baptist Church,Baileys Crossroads,VA,22041,38.848235,-77.130127
Horton Baptist Church,Waverly,IA,50677,42.725814,-92.475463
Faithway Baptist Church,Hampshire,IL,60140,42.097803,-88.530364
Iglesia Bautista Biblica El Faro,Waverly,FL,33877,27.987596,-81.619849
Iglesia Bautista Libertad,Smithfield,NC,27577,35.508553,-78.33936
International Baptist Church,Brooklyn,NY,11218,40.640155,-73.976661
Texas Baptist Church,San Antonio,TX,78218,29.49755,-98.402386
Newton Baptist Temple,Newton,IA,50208,41.699693,-93.053759
Vision Baptist Church,Terre Haute,IN,47801,39.433859,-87.419193
Olivet Baptist Church,Westwood,KS,66205,39.033746,-94.628236
Prairie Flower Baptist Church,Washington,IA,52353,41.299085,-91.692366
Church of the Open Door,Westminster,MD,21157,39.575264,-76.995928
Sauk Village Baptist Church,Sauk Village,IL,60411,41.506283,-87.635708
Independent Baptist Church,Clinton,MD,20735,38.765115,-76.898306
Van Born Baptist Church,Dearborn Heights,MI,48125,42.277846,-83.258466
Tidioute Baptist Church,Tidioute,PA,16351,41.68506,-79.403103
Canyon View Baptist Church,Montrose,CO,81401,38.478193,-107.876277
Faith Baptist Church,Wildomar,CA,92595,33.594996,-117.241506
Great Hope Baptist Church,Chesapeake,VA,23322,36.718371,-76.24668
Fort Worth Baptist Temple,Fort Worth,TX,76108,32.751635,-97.479426
Friendship Baptist Church,Ewa Beach,HI,96706,21.315603,-158.008804
Emmanuel Baptist Church,Bay St Louis,MS,39520,30.313245,-89.334322
Anchor Baptist Church,Dayton,OH,45432,39.740498,-84.102229
Broken Arrow Baptist Church,Pearce,AZ,85625,31.905087,-109.820623
Faith Baptist Church,Parsons,TN,38363,35.649791,-88.126703
White Oak Independent Baptist Church,Warrior,AL,35180,33.814268,-86.809439
Grace Baptist Church,Mills,PA,16875,41.558763,-93.834974
Liberty Baptist Church,,OH,45810,40.769497,-83.822715
Grace Independent Baptist Church,Penndel,PA,19047,40.160637,-74.911767
New Zion Baptist Church,,KY,40769,36.743417,-84.159656
Allen Baptist Church,Allen,MI,49227,41.957158,-84.768083
Amazing Grace Baptist Church,Joshua,TX,76058,32.461529,-97.388073
Bible Baptist Church,Grove City,OH,43123,39.881452,-83.092965
Central Baptist Church,Fate,TX,75132,32.937643,-96.392733
Choice Hills Baptist Church,Henderson,NV,89015,36.030113,-114.982619
Faith Baptist Church,Princeton,WV,24740,37.366328,-81.102661
First Baptist Church,Rensselaer,IN,47978,40.936705,-87.150856
First Baptist Church of Ocoee,Ocoee,FL,34761,28.569519,-81.544117
Val Verde Baptist Church,Groves,TX,77619,29.94827,-93.917116
Franklin Road Baptist Church,Murfreesboro,TN,37128,35.823322,-86.439393
Redeemed Baptist Church,,AL,17041,50.009751,18.572773
Hopewell Independent Baptist Church,Hamlet,NC,28345,34.884878,-79.694222
Mountain View Baptist Church,L  Calimesa,CA,92320,34.003904,-117.061977
Freedom Baptist Church,Yuma,AZ,85367,32.657925,-114.422064
Montecito Baptist Church,Ontario,CA,91761,34.032417,-117.625535
Friendship Baptist Church,,TX,76023,33.078887,-97.565442
Bethel Baptist Church,Lawton,OK,73507,34.62,-98.42
Countryside Baptist Church,Mansfield,TX,76063,32.563192,-97.141677
Immanuel Baptist Church,,TX,76234,33.234283,-97.586139
Cornerstone Baptist Church,Moore,OK,73160,35.342817,-97.490919
Bible Baptist Church,Bowie,TX,76230,33.558993,-97.848472
Open Door Baptist Church,Grand Prairie,TX,75052,32.679197,-97.026105
Grace Baptist Church,,UT,84058,40.279887,-111.699992
Horizon Baptist Church,Northglenn,CO,80233,39.902842,-104.959424
Desert Gateway Baptist Church,Gilbert,AZ,85295,33.30757,-111.738271
Calvary Baptist Church,Sulphur,LA,70663,30.236594,-93.377378
First Baptist Church,Boyd,TX,76023,33.078887,-97.565442
Victory Baptist Church,Kingfisher,OK,73750,35.861432,-97.93172
Faith Bible Baptist Church,Eden,NY,14057,42.652282,-78.896979
Rio Grande Baptist Church,Albuquerque,NM,87105,35.067468,-106.694303
Gospel Light Baptist Church,Tallahassee,FL,32311,30.424601,-84.199153
Minden Baptist Church,Minden,LA,71055,32.615428,-93.286835
Faith Baptist Church,Artesia,NM,88210,32.842335,-104.403296
Worth Baptist Church,Fort Worth,TX,76119,32.691084,-97.269881
Lighthouse Baptist Church,Columbus,MS,39704,33.475125,-88.459262
Edmond Road Baptist Church,Edmond,OK,73003,35.65882,-97.49688
Beacon Baptist Church,Raleigh,NC,27604,35.829066,-78.581486
Grace Baptist Church,Decatur,TX,76234,33.234283,-97.586139
New Horizon Baptist Church,Roanoke,VA,24018,37.237767,-80.075964
Calvary Road Baptist Church,New Albany,IN,47150,38.285625,-85.824131
Sun & Shield Baptist Church,Marana,AZ,85653,32.444699,-111.215709
Tabernacle Baptist Church of Rendon,Burleson,TX,76028,32.542082,-97.320849
Way of the Cross Baptist Church,McDonough,GA,30253,33.447336,-84.146862
Southwest Baptist Church,Wichita Falls,TX,76310,33.86,-98.57
Grace Baptist Church,Miami,FL,33177,25.600169,-80.406846
Oasis Baptist Church,Surprise,AZ,85379,33.612869,-112.376147
Gilbert Independent Baptist Church,Gilbert,AZ,85299,33.34915,-111.786533
Desert View Baptist Church,,AZ,17610,41.427155,-84.476306
Opportunity Bible Baptist Church,Chandler,AZ,85246,33.310721,-111.874928
Freeway Baptist Church,Phoenix,AZ,85021,33.560634,-112.098486
Valley Baptist Church,Yuma,AZ,85364,32.692659,-114.627616
Valley Baptist Church,,AZ,85208,33.404405,-111.627785
Lakeside Baptist Church,Peoria,AZ,85383,33.710981,-112.252506
Shining Light Baptist Church,Tucson,AZ,85732,32.224911,-110.885254
Thomas Road Baptist Church,Phoenix,AZ,85031,33.493328,-112.172458
Victory Baptist Church,Vail,AZ,85641,32.047742,-110.711909
Bible Baptist Church,Chino Valley,AZ,86323,34.757523,-112.453781
Trinity Baptist Fellowship Church,Phoenix,AZ,85040,33.397488,-112.033301
Fellowship Baptist Church,Tucson,AZ,85711,32.208551,-110.883121
Trinity Baptist Church,Bullhead City,AZ,86442,35.103701,-114.619995
Casa Grande Baptist Church,Casa Grande,AZ,85130,32.896695,-111.755991
Ponderosa Baptist Church,Flagstaff,AZ,86004,35.215822,-111.604639
West Greenway Baptist Church,Glendale,AZ,85306,33.620793,-112.176795
Calvary Baptist Church,Show Low,AZ,85901,34.254208,-110.029833
Royal View Baptist Church,Gilbert,AZ,85234,33.352763,-111.789037
Liberty Baptist Church,Prescott,AZ,86305,34.7844,-112.869461
Faith Baptist Church,Tucson,AZ,85736,32.074689,-111.250148
Welcome Baptist Church,Tucson,AZ,85706,32.149088,-110.947595
East Mesa Baptist Church,Mesa,AZ,85208,33.404405,-111.627785
Maranatha Baptist Church,Peoria,AZ,85345,33.580612,-112.237294
North Valley Baptist Church,Oro Valley,AZ,85737,32.410215,-110.989684
Open Door Baptist Church,Tucson,AZ,85738,32.642521,-111.034569
Temple Baptist Church,Tucson,AZ,85705,32.265443,-110.977405
Faith Baptist Church,Glendale,AZ,85303,33.525522,-112.21268
North Valley Baptist Church,Phoenix,AZ,85024,33.66885,-112.051665
Bible Baptist Church,Yuma,AZ,85365,32.675368,-114.560561
Lighthouse Baptist Church,Avondale,AZ,85323,33.435598,-112.349602
Palo Verde Baptist Church,Palo Verde,AZ,85343,33.348715,-112.677466
North Mesa Baptist Church,Mesa,AZ,85206,33.401701,-111.728802
New Testament Baptist Church,Acres Safford,AZ,85546,32.833955,-109.70758
North Village Baptist Church,Phoenix,AZ,85020,33.564817,-112.059624
Westpointe Baptist Church,Goodyear,AZ,85338,33.435367,-112.357601
Sun Valley Baptist Church,Phoenix,AZ,85087,33.688734,-116.194545
Desert Springs Baptist Church,Tucson,AZ,85742,32.375081,-111.055567
Vision Baptist Church,Glendale,AZ,85307,33.530491,-112.323176
Open Door Baptist Church,Prescott Valley,AZ,86314,34.610024,-112.315721
Mohave Baptist Church,Mohave,AZ,86426,35.011866,-114.583881
Heaven's View Baptist Church,Arizona City,AZ,85123,32.755894,-111.670959
Southeast Baptist Church,Havasu City,AZ,86403,34.48385,-114.32245
Castle Rock Baptist Church,Tucson,AZ,85757,32.119804,-111.090007
Fairhaven Baptist Church,Coolidge,AZ,85128,32.977839,-111.517624
Northwest Valley Baptist Church,Glendale,AZ,85308,33.659018,-112.17914
Resurrection Baptist Church,Peoria,AZ,85381,33.60722,-112.233121
Old Pueblo Baptist Church,Tucson,AZ,85710,32.216749,-110.823323
Bethel Baptist Church,Tucson,AZ,85730,32.184207,-110.830629
Sonrise Baptist Church,Tucson,AZ,85746,32.142198,-111.014581
Tucson Baptist Temple,Tucson,AZ,85711,32.208551,-110.883121
Florence Baptist Church,,AZ,85132,33.031451,-111.387343
Southeast Valley Bible Church,Gilbert,AZ,85295,33.30757,-111.738271
Canyon Springs Baptist Church,,AZ,85119,33.394413,-111.534116
Desert Hills Baptist Church,Buckeye,AZ,85326,33.37032,-112.583777
Second Baptist Church,B Festus,MO,63028,38.220711,-90.39595
Adams County Baptist Church,,OH,45618,38.88757,-83.614363
Amazing Grace Baptist Church,Columbus,OH,43223,39.940735,-83.055127
Anchor Baptist Church,Columbus,OH,43228,39.945267,-83.126514
Anchor Baptist Church,Massillon,OH,44646,40.796512,-81.52316
Anchor Baptist Church,Washington Court House,OH,43160,39.536451,-83.439084
First Baptist Church,,KS,66007,39.141669,-94.938576
Basehor Baptist Church,Basehor,KS,66007,39.141669,-94.938576
Beacon Baptist Church,Salem,VA,24153,37.293378,-80.054667
Berea Baptist Church,Berea,OH,44017,41.366161,-81.854303
Bethel Baptist Church,Pataskala,OH,43062,39.995573,-82.674237
Bethel Baptist Church,Ravenna,OH,44266,41.157557,-81.242047
Bethel Baptist Church,West Carrollton,OH,45449,39.658839,-84.235441
Bible Baptist Church,Lancaster,OH,43130,39.713675,-82.599329
Bible Baptist Church,Marysville,OH,43040,40.236449,-83.367143
Bible Baptist Church,Xenia,OH,45385,39.684782,-83.929653
Grace Independent Baptist Church,Brodhead,WI,53520,42.619716,-89.37683
Calvary Baptist Church,Olney,IL,62450,38.729654,-88.084689
Calvary Baptist Church,Paw Paw,MI,49079,42.217817,-85.891125
Calvary Baptist Church,King,NC,27021,36.280694,-80.35922
Calvary Baptist Church,Crestline,OH,44827,40.787557,-82.736568
Calvary Baptist Church,Delaware,OH,43015,40.298672,-83.067965
Calvary Baptist Church,Marysville,OH,43040,40.236449,-83.367143
Calvary Baptist Church,Shelby,OH,44875,40.881436,-82.661895
Calvary Baptist Church,Ashland,OH,44805,40.868615,-82.317594
Calvary Bible Baptist Church,Westerville,OH,43081,40.126139,-82.929529
Calvary Chapel Baptist Church,Minster,OH,45865,40.393103,-84.376061
Capitol City Baptist Church,Columbus,OH,43230,40.044472,-82.877937
Cardington Baptist Temple,Cardington,OH,43315,40.500488,-82.894235
Carrollton Baptist Temple,Carrollton,OH,44615,40.57284,-81.085653
Central Baptist Church,,,40456,37.352862,-84.340492
Central Baptist Church,Amelia,OH,45102,39.028397,-84.217714
Central Baptist Church,Columbus,OH,43223,39.940735,-83.055127
Columbia Road Baptist Church,North Olmsted,OH,44070,41.415603,-81.923473
Cornerstone Baptist Church,Las Cruces,NM,88012,32.35,-106.77
Cornerstone Baptist Church,,OH,45840,41.041387,-83.650398
Open Door Bible Baptist Church,Astoria,NY,11105,40.772015,-73.930267
Shady Grove Baptist Church,Hattiesburg,MS,39403,31.326773,-89.291192
Cornerstone Baptist Church,Missouri City,TX,77459,29.571193,-95.553514
East River Baptist Church,,,27491,36.887355,128.042306
Emmanuel Baptist Church,Lemont,IL,60439,41.673715,-88.001626
Emmauel Baptist Church,Marion,OH,43302,40.588626,-83.128735
Faith Baptist Church,Plymouth,IN,46563,41.343656,-86.309728
Union Hill Missionary Baptist Church,Winston,GA,30187,33.725108,-84.824938
Renewal Baptist Church,Plano,TX,75074,33.013676,-96.69251
Fallsburg Baptist church,Frazeysburg,OH,43822,40.117291,-82.119308
Fellowship Baptist Church,Bedford,KY,40006,38.592563,-85.317734
Fellowship Baptist Church,Columbus,OH,43232,39.923944,-82.863772
Fellowship Baptist Church,Mansfield,OH,44907,40.737988,-82.518151
First Baptist Church,Eaton,OH,45320,39.74394,-84.636489
First Baptist Church,New Richmond,OH,45157,38.948676,-84.279937
First Baptist Church,Oak Creek,WI,53154,42.88585,-87.863136
Garth Road Baptist Church,Baytown,TX,77521,29.776835,-94.97746
Gateway Baptist Church,East Saint Louis,IL,62206,38.562739,-90.173163
Gateway Baptist Church,Blacksburg,VA,24060,37.229657,-80.413677
Genoa Church,Westerville,OH,43082,40.151858,-82.910276
Good News Baptist Church,Churubusco,IN,46723,41.230604,-85.319429
Good News Baptist Church,Chesapeake,VA,23321,36.830177,-76.406781
Good News Baptist church,Candler,NC,28715,35.536481,-82.692928
Gospel Baptist Church,,OH,44514,41.031108,-80.611419
Grace Baptist Church,Dayton,OH,45420,39.728395,-84.14167
Grace Baptist Church,Marion,NY,14505,43.143397,-77.189147
Grace Baptist Church,Marion,OH,43302,40.588626,-83.128735
Grace Baptist Church,Franklin,OH,45005,39.541942,-84.289826
Grace Baptist Church,North Ridgeville,OH,44039,41.389491,-82.019032
Grace Baptist Church,Sidney,OH,45365,40.284216,-84.155499
Grandview Pines Baptist Church,Millbrook,AL,36054,32.479858,-86.361916
Harmony Baptist Church,,OH,43334,40.400895,-82.810733
Harvest Baptist Church,,OH,43410,41.304047,-82.975069
Enka Baptist Church,Enka,NC,28728,35.549832,-82.650128
Heritage Baptist Church,Concord,NC,28025,35.409418,-80.580005
Heritage Baptist Church,Windham,NH,03087,42.800644,-71.304229
Heritage Baptist Church,Berlin,NH,03570,44.46888,-71.183655
Heritage Baptist Church,Lebanon,OH,45036,39.435337,-84.202992
Heritage Baptist Church,Sandusky,OH,43351,41.441399,-82.681912
Heritage Baptist Church,Martinsburg,PA,16662,40.311188,-78.32418
Heritage Baptist Church,Little Rock,AR,72204,34.72928,-92.341738
Hillside Baptist Church,,MO,65802,37.216678,-93.292037
Kings Mills Baptist Church,Kings Mills,OH,45034,39.355615,-84.248548
Landmark Baptist Church,New Haven,IN,46774,41.073306,-85.017313
Liberty Baptist Church,Newport Beach,CA,92660,33.63131,-117.877561
Liberty Baptist Church,Chillicothe,OH,45601,39.33312,-82.982402
Liberty Baptist Church,Elyria,OH,44035,41.367319,-82.107358
Liberty Baptist Church,Toledo,OH,43613,41.697474,-83.599039
Lighthouse Baptist Church,Huntington,WV,25705,38.412094,-82.372685
Lighthouse Baptist Church,Lebanon,IN,46052,40.048374,-86.469168
Lighthouse Baptist Church,Lancaster,OH,43130,39.713675,-82.599329
Lighthouse Baptist Church,Sandusky,OH,44870,41.4561,-82.711581
Loudonville Baptist Temple,,OH,15528,40.112184,-81.020782
Madeira Baptist Church,Cincinnati,OH,45243,39.191558,-84.365409
Mars Hill Baptist Bible Church,Indianapolis,IN,46241,39.739779,-86.250277
Millheim Baptist Church,Akron,OH,44312,41.048417,-81.441123
Millscreek Baptist Church,Ostrander,OH,43061,40.266172,-83.212693
New Heights Baptist Church,Albuquerque,NM,87105,35.067468,-106.694303
New Heights Baptist Church,Wylie,TX,75098,33.01512,-96.538879
Newark Baptist Temple,Heath,OH,43056,40.022842,-82.444599
Newtonsville Baptist Church,Newtonsville,OH,45158,39.182012,-84.08676
North Columbus Baptist Church,Columbus,OH,43235,40.103303,-83.063237
Old Time Baptist Church,Clarksburg,WV,26301,39.280645,-80.344534
Mesa View Baptist Church,Poway,CA,92064,32.962823,-117.035865
Prairie View Baptist Church,Lake City,IL,61937,39.71559,-88.632564
Providence Baptist Church,Westerville,OH,43086,40.134179,-82.923304
Providence Baptist Church,Charleston,WV,25324,38.349804,-81.632335
Ramseur Baptist Church,Paris,TX,75460,33.661796,-95.555513
Richmond Baptist Church,Richmond,IN,47374,39.82869,-84.889852
Ripley Baptist Temple,Ripley,WV,25271,38.818829,-81.710557
Tabernacle Baptist Temple,Roswell,NM,88201,33.394328,-104.522952
First Baptist Church,Santa Fe,NM,87505,35.661494,-105.965853
First Baptist Church,North Myrtle Beach,SC,29582,33.827841,-78.680032
Solida Baptist Church,Point,OH,45680,38.41786,-82.58627
Truth Baptist Church,,,12457,55.99,37.19
Truth Baptist Church,Mechanicsville,VA,23111,37.619317,-77.336963
Twin Rivers Baptist Church,Springfield,OR,97477,44.046236,-123.022029
Twin Rivers Baptist Church,,NC,28560,35.108493,-77.044114
Twin Rivers Baptist Church,Whipple,OH,45788,39.522296,-81.414565
Union Baptist Church,,OH,16623,40.055757,-80.914765
Berean Baptist Church,Marion,OH,43302,40.588626,-83.128735
Union Baptist Temple,Union,MO,63084,38.444407,-91.004445
Kingsway Baptist Church,Mickleton,NJ,08056,39.790113,-75.237683
Victory Baptist Church,Beavercreek,OH,45434,39.722854,-84.032354
Victory Baptist Church,Mentor,OH,44060,41.666478,-81.339977
Victory Baptist Church,Springfield,OH,45506,39.911176,-83.818767
First Baptist Church,West Jefferson,OH,43162,39.944784,-83.268805
Victory Baptist Church,,OH,22260,-28.416217,24.315042
Victory Baptist church,B  Selinsgrove,PA,17870,40.806244,-76.860708
Victory Baptist Temple,,MO,63957,37.154497,-90.695687
Waverly Baptist Temple,Waverly,OH,45690,39.126735,-82.985455
Westside Baptist church,Ontario,OH,44903,40.772089,-82.520743
Whetstone Baptist Church,Bucyrus,OH,44820,40.808391,-82.975465
Zion Hill Baptist Church,Greenville,SC,29611,34.842721,-82.437083
Open Bible Baptist Church,Sumter,SC,29150,33.920435,-80.341469
Lighthouse Baptist Church,Columbus,GA,31907,32.482232,-84.899782
Eastside Baptist Church,Memphis,TN,38128,35.224432,-89.925462
Fairview Baptist Church,,TN,37303,35.442886,-84.593011
First Baptist Church,,NC,28138,35.551251,-80.406449
Freedom Baptist Church,Greenville,SC,29617,34.893787,-82.443036
Edwards Road Baptist Church,Greenville,SC,29615,34.855002,-82.335646
Canaan Baptist Church,Covington,GA,30016,33.586868,-83.95392
Hurst Baptist Church,Sylvania,GA,30467,32.750444,-81.636776
Cornerstone Baptist Church,Greenville,SC,29615,34.855002,-82.335646
Crossroads of Life Baptist Church,Canton,GA,30114,34.236762,-84.490762
Sharon Baptist Church,McDonough,GA,30252,33.438508,-84.119831
Crooked Creek Baptist Church,Athens,GA,30607,33.999103,-83.418338
Victory Chapel Baptist Church,Conestee,SC,29636,34.76809,-82.349999
The Baptist Tabernacle,Covington,GA,30014,33.596891,-83.860359
Pleasant Hill Baptist Church,Powder Springs,GA,30127,33.859549,-84.683824
Berea Baptist Church,Athens,AL,35611,34.804549,-86.97117
Tri-County Baptist Church,West Chester,OH,45069,39.330336,-84.408275
Calvary Baptist Church,Statesville,NC,28677,35.782636,-80.887296
Friendship Baptist Church,Elon,NC,27244,36.1,-79.51
Henry Baptist Church,McDonough,GA,30253,33.447336,-84.146862
Calvary Baptist Church,Hampton,GA,30228,33.387058,-84.282978
Volusia County Baptist Church,Orange City,FL,32763,28.948876,-81.298674
Grace Baptist Church,Lenoir City,TN,37772,35.7973,-84.25603
Charity Baptist Church,Brownstown,MI,48193,42.174207,-83.17937
Houghton Lake Baptist Church,,MI,48629,44.314739,-84.76475
Beacon Baptist Church,Jupiter,FL,33478,26.919038,-80.224752
Central Baptist Church,Ocala,FL,34471,29.169756,-82.131285
Fellowship Baptist Church,,FL,13515,47.9001859,18.41916870229
Freedom Baptist Church,,FL,32656,29.786077,-82.031489
Memorial Baptist Church,Ocala,FL,34480,29.144077,-82.070553
Riverland Baptist Church,Dunnellon,FL,34432,29.049143,-82.460933
Gospel Way Baptist Church,Grand Junction,CO,81503,39.044184,-108.537543
Life Line Baptist Church,Camby,IN,46113,39.661472,-86.312023
Victory Baptist Church,Tonganoxie,KS,66086,39.109724,-95.087747
Calvary Baptist Church,Junction City,KS,66441,39.028609,-96.831398
Crossroads Baptist Church,Girard,KS,66743,37.51116,-94.838022
Concordia Baptist Church,Concordia,MO,64020,38.982454,-93.568501
Faith Baptist Church,Attica,KS,67009,37.24141,-98.226735
Temple Baptist Church,,KS,67042,37.81724,-96.862252
Temple Baptist Church,Wichita,KS,67213,37.667004,-97.3594
Riverside Baptist Church,Hutchinson,KS,67501,38.060844,-97.929774
Heritage Baptist Church,Great Bend,KS,67530,38.362506,-98.780409
Colby Independent Baptist Church,Colby,KS,67701,39.395966,-101.052688
Hoxie Baptist Temple,Hoxie,KS,67740,39.357505,-100.441807
Sunrise Baptist Church,Oakley,KS,67748,39.126385,-100.855611
Bible Baptist Church,Dodge City,KS,67801,37.752798,-100.017079
Grace Baptist Church,Conway,AR,72032,35.098268,-92.432313
Victory Baptist Church,,KS,67860,37.940575,-101.254892
First Baptist Church,Syracuse,KS,67878,37.980569,-101.752672
Liberty Baptist Church,,KS,67208,37.703378,-97.28303
Bible Baptist Church,Coffeyville,KS,67337,37.0373,-95.616363
Calvary Baptist Church,Beloit,KS,67420,39.458684,-98.108282
New Life Baptist Church,Garnett,KS,66032,38.280577,-95.241919
First Baptist Church,Parker,TX,75002,33.097228,-96.644031
True Light Baptist Church,Los Lunas,NM,87031,34.814209,-106.761307
Grace Navajo Baptist Church,Gallup,NM,87305,35.41,-108.72
Bible Baptist Church,Aztec,NM,87410,36.822063,-107.992899
Temple Baptist Church,Santa Fe,NM,87505,35.661494,-105.965853
Calvary Baptist Church,Santa Fe,NM,87505,35.661494,-105.965853
Mountain View Baptist Church,Las Cruces,NM,88011,32.31323,-106.736707
Dyer Baptist Church,Dyer,IN,46311,41.494202,-87.521707
Living Water Baptist Church,Chaparral,NM,88081,32.035101,-106.418321
Faith Baptist Church,Carlsbad,NM,88220,32.425746,-104.237612
Temple Baptist Church,Tucumcari,NM,88401,35.171943,-103.725041
Westbrook Baptist Church,Clovis,NM,88101,34.405472,-103.205071
Anchor Baptist Church,Hillsboro,OH,45133,39.202287,-83.611587
Trinity Bible Baptist Church,Choctaw,OK,73020,35.497565,-97.268926
Calvary Baptist Church,Perry,OK,73077,36.289486,-97.288098
Moore Baptist Temple,Moore,OK,73160,35.342817,-97.490919
Victory Baptist Temple,Oklahoma City,OK,73110,35.464805,-97.398477
Collinsville Baptist Tabernacle,Collinsville,OK,74021,36.366121,-95.839811
Maranatha Baptist Temple,Collinsville,OK,74021,36.366121,-95.839811
First Baptist Church,Cushing,OK,74023,35.985064,-96.76697
Bible Baptist Church,Healdton,OK,73438,34.233148,-97.487802
Gloryland Baptist Church,Hartshorne,OK,74547,34.845098,-95.557481
Solid Rock Independent Baptist Church,Oklahoma City,OK,73111,35.503508,-97.480464
Victory Baptist Church,Oklahoma City,OK,73127,35.484856,-97.624643
Star Baptist Church,Keota,OK,74941,35.255652,-94.92162
Grace Baptist Church,Cleveland,OK,74020,36.309992,-96.464195
Lakewood Baptist Church,Powderly,TX,75473,33.811216,-95.524402
Faith Community Baptist Church (Savoy, TX,Fort Worth,TX,76108,32.751635,-97.479426
Victory Baptist Church,Wichita Falls,TX,76302,33.857778,-98.501038
Caprock Baptist Church,Amarillo,TX,79103,35.183997,-101.798591
Hillcrest Baptist Church,El Paso,TX,79904,31.855665,-106.435753
Harvest Baptist Church,Abilene,TX,79602,32.428291,-99.733835
Central Baptist Church,Denton,TX,76201,33.215039,-97.133052
Heritage Baptist Church,Lufkin,TX,75904,31.33494,-94.751758
Faith Baptist Church,Lubbock,TX,79424,33.51887,-101.936564
East Side Baptist Church,Big Spring,TX,79720,32.250398,-101.478736
Calvary Baptist Church,C  Muleshoe,TX,79347,34.226805,-102.727721
Central Baptist Church,Coleman,TX,76834,31.827368,-99.426453
Berean Baptist Church,Walla Walla,WA,99362,46.066728,-118.339346
Fairhaven Baptist Church,Chesterton,IN,46304,41.610594,-87.064199
First Baptist Church,Spring Valley,CA,91977,32.720419,-117.003807
Faith Baptist Church,Toulon,IL,61483,41.093648,-89.864828
Liberty Baptist Church,Suffolk,VA,23434,36.72821,-76.58357
Gospel Light Baptist Church,Queen Creek,AZ,85142,33.248386,-111.634159
Shenandoah Baptist Church,Cleveland,TN,37323,35.131477,-84.85219
Lighthouse Baptist Church,Dawsonville,GA,30534,34.421205,-84.11908
Mile High Baptist Church,Denver,CO,80227,39.661949,-105.076263
Teays Valley Baptist Church,Hurricane,WV,25526,38.43259,-82.020137
Revival Baptist Church,Scranton,PA,18508,41.433026,-75.662916
Grace Baptist Church,Decatur,IL,62526,39.870515,-88.958366
Crossroads Baptist Church,,MO,17531,28.613761,-105.964976
Concord Baptist Church,Wilmington,DE,19810,39.819554,-75.508783
Wilton Baptist Church,Wilton,NY,12831,43.196027,-73.651484
Union City Baptist Temple,Union City,TN,38261,36.42423,-89.05701
Calvary Bible Baptist Church,Willingboro,NJ,08046,40.027889,-74.869054
First Baptist Church,Goodrich,MI,48438,42.91708,-83.501656
Grace Independent Baptist Church,Wapwallopen,PA,18660,41.074528,-76.130763
Faith Baptist Church,Palm Bay,FL,32907,28.017417,-80.683155
First Baptist Church,,OH,45327,39.626168,-84.369388
Cornerstone Baptist Church,Dayton,OH,45410,39.746328,-84.159602
Timberline Baptist Church,Sherwood,OR,97140,45.356932,-122.840374
Open Door Baptist Church,Cassadaga,NY,14718,42.344225,-79.309489
Frankfort Baptist Temple,Frankfort,IN,46041,40.279766,-86.510824
Northbrook Baptist Church,Cedar Rapids,IA,52402,42.017451,-91.652551
Faith Baptist Church,,IL,14883,-26.486218,27.84107
Temple Baptist Church,Lacey,WA,98503,47.026388,-122.807226
Bible Baptist Church,Barre,VT,05641,44.197467,-72.502213
Spokane Baptist Church,Otis Orchards,WA,99027,47.700497,-117.111678
Grace Baptist Church,Beaver Dams,NY,14812,42.291185,-76.959686
Shiloh Baptist Church,Gwinn,MI,49841,46.281056,-87.440972
Sycamore Baptist Church,Jackson,MI,49202,42.259589,-84.406197
Bible Baptist Church,Roanoke,VA,24014,37.243559,-79.940363
Anchor Baptist Church,Biddeford,ME,04005,43.492584,-70.453384
Knotty Oak Baptist Church,Coventry,RI,02816,41.698986,-71.552631
Grace Baptist Church,Coleman,MI,48618,43.756695,-84.585843
Lighthouse Baptist Church,Indianapolis,IN,46239,39.725893,-86.015558
Sugar Grove Baptist Church,,,42343,37.636164,-86.717487
Lighthouse Baptist Church,Pasadena,MD,21123,39.107209,-76.571407
Madison Baptist Church,Madison,AL,35758,34.674182,-86.759762
Evergreen Baptist Church,,WA,98226,48.776998,-122.461287
Templo Bautista de Yakima,Gap,WA,98903,47.611716,-122.336314
Bethel Baptist Church,,TN,37142,36.437551,-87.485567
Peoples Baptist Church,Bay City,MI,48706,43.60633,-83.906793
Liberty Baptist Church,Durham,NC,27705,36.015295,-78.938006
Hudson Baptist Church,Hudson,ME,04449,45.001178,-68.880592
New Life Baptist Church,Hudson Falls,NY,12839,43.300697,-73.586082
Bible Baptist Church,,,40456,37.352862,-84.340492
Harvest Baptist Church,Mount Vernon,WA,98273,48.430804,-122.312302
Amazing Grace Baptist Church,Vancouver,WA,98665,45.685361,-122.65927
Victory Baptist Church,Bend,OR,97701,44.072403,-121.275166
Calvary Baptist Church,Durham,NC,27703,35.977355,-78.848037
Central Baptist Church,Southington,CT,06489,41.600544,-72.878294
