name,city,state,attend,denom,lat,lon
Saint John Baptist Church,Tacoma, WA,2000,UNK,47.24958,-122.439875
Antioch Bible Church,Redmond, WA,3500,NONDENOM,47.669414,-122.123877
Bethel Church,Richland, WA,2400,UNK,46.28043,-119.275206
Puyallup Foursquare Church,Puyallup, WA,3500,4SQ,47.184901,-122.29214
Crossroads Community Church,Vancouver, WA,4000,UNK,49.271743,-123.136595
Lighthouse Christian Center,Puyallup, WA,1800,CMA,47.184901,-122.29214
Mount Zion Baptist Church,Seattle, WA,2500,BAPT,47.603832,-122.330062
Life Center Foursquare,Spokane, WA,4500,4SQ,47.657193,-117.423511
Living Hope Church,Vancouver, WA,5200,NONDENOM,49.271743,-123.136595
New Life Foursquare Church,Everett, WA,2700,4SQ,47.967306,-122.2014
Crossroads Bible Church,Bellevue, WA,2100,BGC,40.164516,-80.25395
Gateway Fellowship,Poulsbo, WA,2000,AG,47.739137,-122.63928
Elmbrook Church,Brookfield, WI,7013,NONDENOM,43.060567,-88.106479
Christian Faith Fellowship,Milwaukee, WI,6000,COGIC,43.034993,-87.922497
Bethel Lutheran Church,Madison, WI,1800,LUTH,43.074761,-89.383761
Appleton Alliance Church,Appleton, WI,3000,CMA,44.261397,-88.406974
Hales Corners Lutheran Church,Hales Corners, WI,3000,LUTH,42.937515,-88.048698
Eastbrook Church,Milwaukee, WI,2000,NONDENOM,43.034993,-87.922497
Blackhawk Church,Verona, WI,4000,EF,42.990549,-89.533558
Oak Creek Assembly of God,Oak Creek, WI,2229,AG,42.88585,-87.863136
Christ the Rock Community Church,Menasha, WI,3000,NONDENOM,44.202229,-88.446536
Fox River Christian Church,Waukesha, WI,2400,UNK,43.011678,-88.231481
Celebration Church - Bayside,Green Bay, WI,4000,NONDENOM,44.512638,-88.012579
Alliance Missionary Church,Marshfield, WI,1800,CMA,44.668852,-90.171799
Door Creek Church,Madison, WI,2000,EF,43.074761,-89.383761
Central Christian Church,Beloit, WI,1981,CHRISTIAN,42.508327,-89.031784
Journey Church,Kenosha, WI,2400,AG,42.584677,-87.821226
Bible Center Church,Charleston, WV,2500,NONDENOM,38.3506,-81.633281
Chestnut Ridge Church,Morgantown, WV,2400,NONDENOM,39.629681,-79.955944
Maranatha Fellowship Church,Saint Albans, WV,2200,UNK,38.385649,-81.836241
Highland Park Community Church,Casper, WY,2500,COG,42.850119,-106.325138
